Location,Land_cover,Biome,Biogeogr,Country,Latitude,Longitude,Elevation,Abundance,Richness,Seasons,Years,PresAbs,Rodents
LBR_Nimba2,Mixed,Forest-savanna,Congolian,Liberia,7.52,-8.53,1000,5,4,1,1,0,1
LBR_Nimba3,Mixed,Forest-savanna,Congolian,Liberia,7.51,-8.7,420,11,8,1,1,0,1
LBR_Nimba4,Mixed,Forest-savanna,Congolian,Liberia,7.47,-8.65,450,9,3,1,1,0,1
LBR_Wologizi,Natural,Forest-savanna,Congolian,Liberia,8.149,-9.879,550,8,5,1,1,0,1
MLI_Mopti,Mixed,Sahel,Sudanian,Mali,14.89,-4.035,260,200,1,2,3,0,1
MOZ_Cabora,Natural,Savanna,Zambezian,Mozambique,-15.6,32.75,840,2,1,2,2,0,1
MOZ_Gorongosa,Natural,Savanna,Zambezian,Mozambique,-18.99,34.35,120,4,1,1,1,0,1
MRT_Chott,Natural,Sahel,Sudanian,Mauritania,16.6,-16.43,10,4,2,2,2,0,1
MWI_Lengwe,Natural,Savanna,Zambezian,Malawi,-16.3,34.733,100,5,1,2,2,0,1
MWI_Liwonde,Natural,Savanna,Zambezian,Malawi,-15.033,35.25,550,1,1,2,2,0,1
MWI_Zomba,Natural,Montane,Zambezian,Malawi,-15.333,25.317,1900,3,1,2,2,0,1
NAM_Keetmanshoop,Rangeland,Nama-Karoo,Southern,Namibia,-26.39,17.996,1000,10,1,2,2,0,1
NAM_Tumasberg,Natural,Desert,Southern,Namibia,-23.152,15.514,1100,9,1,2,1,0,1
NGA_Gambari,Natural,Rainforest,Congolian,Nigeria,7.15,3.9,170,56,2,2,3,0,1
NGA_Gotel,Natural,Montane,Sudanian,Nigeria,7,11.7,1600,9,5,1,1,0,1
NGA_Oredo,Mixed,Rainforest,Congolian,Nigeria,6.09,5.485,20,85,6,1,3,0,1
RWA_Volcanoes,Natural,Montane,Congolian,Rwanda,-1.458,29.498,3000,11,3,1,1,0,1
SEN_Sabodala,Mixed,Sudanian-savanna,Sudanian,Senegal,13.167,-12.117,250,8,2,2,2,0,1
SLE_Bumbuna1,Natural,Forest-savanna,Sudanian,Sierra_Leone,9.3244,-11.675,310,1,1,1,1,0,1
SLE_Bumbuna2,Mixed,Forest-savanna,Sudanian,Sierra_Leone,9.32,-11.527,320,1,1,1,1,0,1
SLE_Gola1,Natural,Rainforest,Congolian,Sierra_Leone,7.649,-10.775,150,12,6,1,1,0,1
SLE_Gola2,Natural,Rainforest,Congolian,Sierra_Leone,7.772,-10.714,150,12,4,1,1,0,1
SOM_Jubba,Natural,Savanna,Somalian,Somalia,1.067,42.583,20,1,1,1,1,0,1
SWZ_Edwaleni,Natural,Savanna,Southern,Eswatini,-26.546,31.261,750,25,1,2,3,0,1
SWZ_Lowveld,Mixed,Savanna,Southern,Eswatini,-26.22,31.88,300,66,3,2,1,0,1
