Family,Graphiurus_angolensis,MASS,HB,TAIL,Ear,HF,GSKL,ZYGO,M1-M3,Terrestrial,Arboreal,Semiaquatic,Rupicolous
MURIDAE,Otomys_karoensis,89.2,143,67.5,22.5,23,35.1,17.5,8.4,0,0,1,0
MURIDAE,Otomys_lacustris,108,134,98,21,27,37.2,17.9,8.6,0,0,1,0
MURIDAE,Otomys_laminatus,111.3,167.9,100,22.5,30.2,38.5,18.3,8.8,0,0,1,0
MURIDAE,Otomys_occidentalis,165,188.5,108,22.5,30,44.6,22.5,10.5,0,0,1,0
MURIDAE,Otomys_orestes,77,143,78,20,28,36.6,17.9,8.9,0,0,1,0
MURIDAE,Otomys_simiensis,133,159.6,73.1,22,28.5,38.4,19.5,9.3,0,0,1,0
MURIDAE,Otomys_sloggetti,108,155.2,82.8,19.4,25,37,18.4,8.8,0,0,1,0
MURIDAE,Otomys_sungae,84,127,62,18,28,37.6,19.8,8.4,1,0,0,0
MURIDAE,Otomys_thomasi,111.3,164,91,23.6,30.2,38,18.4,8.7,0,0,1,0
MURIDAE,Otomys_tropicalis,111.3,170.7,88.3,21.3,30.3,40.8,20.8,9.4,0,0,1,0
MURIDAE,Otomys_typus,111.3,159,86.7,21.9,29.9,39.6,19.2,9,0,0,1,0
MURIDAE,Otomys_unisulcatus,111.3,163.2,83.7,21.8,26,38.3,19.2,10.2,0,0,1,0
MURIDAE,Otomys_uzungwensis,96,152.5,92,23.5,28.5,35.2,18,7,1,0,0,0
MURIDAE,Otomys_wilani,111.3,163.2,83.7,21.8,26,37.3,18.2,9.1,0,0,1,0
MURIDAE,Otomys_yaldeni,78,184,64.5,17.3,23.5,32.6,16.9,7.9,0,0,1,0
MURIDAE,Otomys_zinki,89.2,143.3,71.5,19.2,23.7,35.2,17.6,8.4,0,0,1,0
MURIDAE,Parotomys_brantsii,111.3,161.6,84.1,21.9,27.9,39.4,19.2,9.2,0,0,1,0
MURIDAE,Parotomys_littledalei,94.6,148,100.4,17.3,31.6,36.6,19.5,8.3,1,0,0,0
MURIDAE,Pelomys_campanae,105.4,146.8,101.4,19.6,29.1,35.7,19.1,7.9,1,0,0,0
MURIDAE,Pelomys_fallax,105,144,145,18.3,32,35.5,16.8,6.4,0,0,1,0
MURIDAE,Pelomys_hopkinsi,105,147,133,18,32,35.1,17.1,6.8,0,0,1,0
MURIDAE,Pelomys_isseli,54.5,121.5,154,15.9,31.2,33.8,15.9,6.1,0,0,1,0
MURIDAE,Pelomys_minor,54,132,149,15,31,32.7,16,6.1,0,0,1,0
MURIDAE,Praomys_cf_jacksoni,49,122.5,113.3,14.5,24.2,29.2,16,5.3,0,0,1,0
MURIDAE,Praomys_coetzeei,40,115.4,146.9,18.4,25,29.8,14.2,4.7,1,0,0,0
MURIDAE,Praomys_daltoni,49,117.8,150.2,18.6,26.5,33.2,15.4,5.2,1,0,0,0
MURIDAE,Praomys_degraaffi,33.9,108.8,115.8,17,20,27.8,13.8,4.2,1,0,0,0
MURIDAE,Praomys_delectorum,40.4,110.8,136.3,19.6,26.4,31.3,14.7,5.2,1,0,0,0
MURIDAE,Praomys_hartwigi,28.1,102.6,124.6,20.1,23.9,28.2,13.2,4.5,1,0,0,0
MURIDAE,Praomys_jacksoni,57.2,125,162.1,19.2,26.5,32.6,15.6,5.6,1,0,0,0
MURIDAE,Praomys_lukolelae,40,115.4,146.9,18.4,25,30.6,14.6,5,1,0,0,0
MURIDAE,Praomys_minor,41,123.8,141.2,22.9,30.2,31.5,13.8,4.9,1,0,0,0
MURIDAE,Praomys_misonnei,26.5,100,127.1,16.3,20.7,28.4,13.4,4.4,1,0,0,0
MURIDAE,Praomys_morio,34.7,112,141.3,18.5,24.4,31,14.2,5,1,0,0,0
MURIDAE,Praomys_mutoni,43,113.5,129.9,18.3,23.5,30.2,12.4,5.2,1,0,0,0
MURIDAE,Praomys_obscurus,45,114,146,18,22,31.8,14.9,5.1,1,0,0,0
MURIDAE,Praomys_petteri,47.2,121,161,20.1,27.1,31.4,15.4,5.3,1,0,0,0
MURIDAE,Praomys_rostratus,49,119,140,18.5,26,34.1,15.4,5.1,1,0,0,0
MURIDAE,Praomys_tullbergi,50.5,129.5,145.1,18.9,26.4,34,15.5,5,1,0,0,0
MURIDAE,Praomys_verschureni,37.9,119.3,139.5,18.7,24.1,31.5,14.4,4.7,1,0,0,0
MURIDAE,Rhabdomys_bechuanae,50.8,121.3,143,20.3,30.1,34.4,15.5,5.3,1,0,0,0
MURIDAE,Rhabdomys_chakae,44.5,106.9,107.8,12.4,24.2,25.8,14.1,4.5,1,0,0,0
MURIDAE,Rhabdomys_dilectus,45.5,109.2,85.4,12.7,22.1,27,14.1,4.5,1,0,0,0
MURIDAE,Rhabdomys_intermedius,39,111.1,82.6,13.1,20.9,24.5,14.1,4.5,1,0,0,0
MURIDAE,Rhabdomys_pumilio,44,110.7,106.7,13.8,25,28,14.1,4.5,1,0,0,0
MURIDAE,Stenocephalemys_albipes,41.8,114.6,86,14.5,25.4,29.3,14.1,4.5,1,0,0,0
MURIDAE,Stenocephalemys_albocaudata,59,133.6,161.3,22.4,28.9,33.3,15.6,5.5,1,0,0,0
MURIDAE,Stenocephalemys_griseicauda,130,164,141,27,32,39.4,20.7,7.9,1,0,0,0
MURIDAE,Stenocephalemys_ruppi,99,154,142,24,30,35.9,18,6.8,1,0,0,0
MURIDAE,Stochomys_longicaudatus,59,131.3,159.7,24.1,30.7,33.5,16.2,6.7,1,0,0,0
MURIDAE,Thallomys_loringi,94.5,145,213,20.3,30.7,38.8,18.9,6.4,0,1,0,0
MURIDAE,Thallomys_nigricauda,80,144,159,22.7,27,34.3,18.2,5.6,0,1,0,0
MURIDAE,Thallomys_paedulcus,73.8,135,146.8,20.5,24.7,33.3,14.1,5.2,0,1,0,0
MURIDAE,Thallomys_shortridgei,72.3,140.3,166.2,20.8,25.3,32.8,16.4,4.9,0,1,0,0
MURIDAE,Thamnomys_kempi,80,145,195,24,27.5,35.4,18.4,5.6,0,1,0,0
MURIDAE,Thamnomys_major,84,155,202,23.6,29.3,37.5,17.5,6.8,0,1,0,0
MURIDAE,Thamnomys_schoutedeni,84,156,201,23.6,31,39.3,17.5,6.8,0,1,0,0
MURIDAE,Thamnomys_venustus,45,119,185,18.5,25,32.8,16,5.9,0,1,0,0
MURIDAE,Typomys_planifrons,64,146,198,21.3,26.3,35.2,16.5,6.1,0,1,0,0
MURIDAE,Typomys_trivirgatus,51,124,97,17.4,30.6,32.8,15.5,5.6,1,0,0,0
MURIDAE,Zelotomys_hildegardeae,56,124,100,17,31.8,33.6,15.6,5.4,1,0,0,0
MURIDAE,Zelotomys_woosnami,59.8,125.8,87.9,14.6,22.5,31.4,17.8,5.3,1,0,0,0
MURIDAE,Petromus_typicus,59.5,128.4,108.9,18.9,26.4,31.9,17.4,5.4,1,0,0,0
PETROMURIDAE,Petromus_typicus,161.2,172,144,13.5,32,45,26.1,9.7,0,0,0,1
