Family,Casinycteris_argynnis,MASS,FA,HB,TAIL,Ear,HF,GSKL,ZYGO,C-M3,Fruitbat,Open-air,Edge,Clutter
VESPERTILIONIDAE,Scotoecus_albofuscus,6.8,38.4,48.5,45,36,8.3,16.6,8.6,5.4,0,0,0,1
VESPERTILIONIDAE,Scotoecus_hindei,7.1,30,55.2,33.1,12.1,8.5,13.6,10.5,5.1,0,0,1,0
VESPERTILIONIDAE,Scotoecus_hirundo,9.5,35.1,55,35,13.3,8.5,15.4,11.4,5.8,0,0,1,0
VESPERTILIONIDAE,Scotophilus_alvenslebeni,8.5,34.2,56.8,34.8,11.8,8.5,14.1,11.2,5.4,0,0,1,0
VESPERTILIONIDAE,Scotophilus_andrewreborii,53,80.5,100,75,21.5,17,29.3,20.7,10,0,0,1,0
VESPERTILIONIDAE,Scotophilus_damarensis,23.9,52.6,80.3,46,9.5,9.6,19.3,14,6.9,0,0,1,0
VESPERTILIONIDAE,Scotophilus_dinganii,17.1,49.7,72,49.5,15.1,10.5,18.3,12.8,6.5,0,0,1,0
VESPERTILIONIDAE,Scotophilus_ejetai,23.9,53.3,82,52,17.2,12,20.5,14.3,6.9,0,0,1,0
VESPERTILIONIDAE,Scotophilus_leucogaster,23.9,50.4,75.4,42.3,11.2,10.7,18.1,13,6.9,0,0,1,0
VESPERTILIONIDAE,Scotophilus_livingstonii,19.7,49.7,74.1,45.9,15.2,10.5,18.3,13.2,6.1,0,0,1,0
VESPERTILIONIDAE,Scotophilus_nigrita,23.9,54.1,81,44,10.2,10.9,18.4,14.1,6.9,0,0,1,0
VESPERTILIONIDAE,Scotophilus_nigritellus,89,82.1,113,78,22,17,30.7,20.6,10.6,0,0,1,0
VESPERTILIONIDAE,Scotophilus_nucella,16.5,45.9,81.3,41.3,14.8,9,17.1,12.4,5.8,0,0,1,0
VESPERTILIONIDAE,Scotophilus_nux,21,51.3,77,44,15,11,17.3,13.6,6.5,0,0,1,0
VESPERTILIONIDAE,Scotophilus_viridis,21,51.3,77,44,17.2,14,17.3,13.6,6.5,0,0,1,0
VESPERTILIONIDAE,Scotophilus_viridis,16.5,45.9,81.3,41.3,14.8,9,17.1,12.4,5.8,0,0,1,0
