"","Site","alt","alt_rough","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","Location","Land_cover","Biome","Biogeogr","Country","Latitude","Longitude","Elevation","Abundance","Richness","Seasons","Years","PresAbs","Shrews"
"30","30",4114,256,57,65,51,1322,180,33,41,464,139,398,254,116,80,600,132,-12,144,52,58,"ETH_Bale4","Natural","Montane","Ethiopian","Ethiopia",6.85,39.883,4050,30,3,2,2,0,1
"31","31",3493,512,92,100,84,1150,166,25,45,437,115,333,197,122,79,617,168,15,153,87,91,"ETH_Bale5","Natural","Montane","Ethiopian","Ethiopia",7.05,39.75,3200,13,5,2,2,0,1
"32","32",1094,524,232,243,221,1454,187,35,45,535,126,178,494,137,77,870,326,150,176,231,237,"ETH_Chebera","Natural","Montane","Ethiopian","Ethiopia",6.82,36.69,800,620,10,2,2,0,1
"33","33",2669,1110,155,176,136,761,227,10,112,495,35,275,35,162,70,1634,274,44,230,165,136,"ETH_Hugumburda","Natural","Montane","Ethiopian","Ethiopia",12.65,39.55,2000,177,7,1,1,0,1
"34","34",2955,714,123,134,115,1033,180,15,58,461,77,273,352,128,77,801,205,39,166,115,119,"ETH_Hunkolo","Natural","Montane","Ethiopian","Ethiopia",7.4,39.4,3400,307,7,2,2,0,1
"35","35",2068,544,182,194,174,1784,310,22,66,831,101,446,823,151,76,829,278,81,197,176,176,"ETH_Jiren","Mixed","Montane","Ethiopian","Ethiopia",7.69,36.85,1800,100,6,2,2,0,1
"36","36",3070,912,117,128,106,1096,187,17,57,486,82,241,486,121,75,885,197,37,160,106,114,"ETH_Kaka","Natural","Montane","Ethiopian","Ethiopia",7.4,39.1,3500,612,8,2,2,0,1
"37","37",2730,886,135,152,122,960,300,2,122,685,8,233,22,140,72,1194,235,41,194,135,128,"ETH_Simiens1","Natural","Montane","Ethiopian","Ethiopia",13.19,37.89,2900,9,2,1,1,0,0
"38","38",2785,1272,134,152,122,943,297,2,125,679,7,221,20,143,72,1187,235,38,197,134,127,"ETH_Simiens2","Natural","Montane","Ethiopian","Ethiopia",13.23,38.04,3250,119,8,1,1,0,1
"39","39",3368,1384,99,115,85,982,301,3,122,691,10,220,48,142,73,1155,194,2,192,103,90,"ETH_Simiens3","Natural","Montane","Ethiopian","Ethiopia",13.26,38.19,3600,106,6,1,1,0,1
"40","40",3725,542,79,94,63,1057,311,3,117,723,15,234,57,140,74,1151,171,-17,188,84,69,"ETH_Simiens4","Natural","Montane","Ethiopian","Ethiopia",13.17,38.2,4000,115,4,1,1,0,1
"41","41",2518,483,159,173,148,1073,246,9,87,630,37,224,37,136,75,983,249,68,181,154,148,"ETH_Yerer","Natural","Montane","Ethiopian","Ethiopia",8.867,38.96,2000,400,6,2,2,0,1
"42","42",129,77,257,270,235,1919,364,2,72,838,13,678,13,109,69,1365,331,174,157,262,235,"GAB_Doudou","Natural","Rainforest","Congolian","Gabon",-2.15,10.5,110,1526,11,2,2,0,1
"43","43",27,100,254,268,234,1812,347,1,72,777,12,657,12,91,65,1354,322,184,138,261,234,"GAB_Gamba","Natural","Rainforest","Congolian","Gabon",-2.75,10.05,25,6,6,1,1,0,1
"44","44",21,24,256,270,235,1936,363,1,71,819,13,700,13,88,65,1334,321,187,134,262,235,"GAB_Loango","Natural","Rainforest","Congolian","Gabon",-2.2,9.7,30,6,6,1,1,0,1
"45","45",503,27,239,248,223,1659,305,13,61,671,95,598,95,90,75,1024,300,180,120,241,223,"GAB_Makoukou","Natural","Rainforest","Congolian","Gabon",0.567,12.867,450,230,8,2,2,0,0
"46","46",376,215,243,255,222,2077,388,3,71,903,19,731,19,105,70,1280,313,164,149,247,222,"GAB_Rabi","Natural","Rainforest","Congolian","Gabon",-1.8,10.3,200,12,12,1,1,0,1
"47","47",77,124,259,272,239,1993,376,3,71,867,18,698,18,101,69,1286,328,183,145,263,239,"GAB_Toucan","Natural","Rainforest","Congolian","Gabon",-1.7,10.2,160,11,11,1,1,0,1
"48","48",198,318,257,271,241,1146,202,21,53,477,101,268,251,92,74,1118,324,200,124,260,264,"GHA_Accra","Mixed","Guinea-woodland","Congolian","Ghana",6,0,80,234,10,2,2,0,1
"49","49",62,45,268,279,253,1811,350,39,57,763,179,365,348,79,73,990,328,221,107,272,273,"GHA_Boitano","Natural","Rainforest","Congolian","Ghana",5.53,-2.617,80,17,7,1,1,0,1
"50","50",114,49,272,289,257,1278,198,9,62,498,48,226,472,108,70,1190,355,201,154,267,276,"GHA_Digya","Natural","Forest-savanna","Congolian","Ghana",7.5,-0.5,150,26,4,1,1,0,0
"51","51",83,46,260,270,247,1915,402,43,63,858,194,361,332,72,75,873,313,217,96,264,264,"GHA_Draw","Natural","Rainforest","Congolian","Ghana",5.2,-2.4,80,26,6,1,1,0,1
"52","52",136,36,267,281,253,1262,188,9,59,484,61,271,383,102,71,1049,345,203,142,271,270,"GHA_Kogyae","Natural","Forest-savanna","Congolian","Ghana",7.2,-1.183,150,96,9,2,2,0,0
