"","Site","alt","alt_rough","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","Location","Land_cover","Biome","Biogeogr","Country","Latitude","Longitude","Elevation","Abundance","Richness","Seasons","Years","PresAbs","Shrews"
"120","120",1129,678,194,215,171,1664,360,65,70,857,234,300,269,97,64,1776,276,125,151,202,171,"TZA_Usambara2","Natural","Montane","Zambezian","Tanzania",-5.067,38.4,1200,562,11,1,3,0,1
"121","121",1567,649,193,196,191,1317,157,42,32,435,195,298,217,122,91,210,259,126,133,192,191,"UGA_Bwindi1","Natural","Montane","Congolian","Uganda",-0.997,29.616,1550,22,22,2,1,1,1
"122","122",2228,366,154,155,150,1332,186,30,38,445,159,344,189,114,89,243,217,89,128,155,151,"UGA_Bwindi2","Natural","Montane","Congolian","Uganda",-1.05,29.775,2300,25,25,2,1,1,1
"123","123",3389,1506,102,111,93,1730,249,50,39,603,192,250,594,110,80,672,180,43,137,93,107,"UGA_Elgon1","Natural","Montane","Sudanian","Uganda",1.15,34.483,3400,8,8,2,2,1,0
"124","124",3913,802,72,81,63,1783,254,59,36,607,217,278,597,102,78,685,146,16,130,63,77,"UGA_Elgon2","Natural","Montane","Sudanian","Uganda",1.143,34.526,4100,6,6,2,2,1,0
"125","125",1110,36,226,234,217,1296,194,44,38,476,175,222,280,119,83,625,304,161,143,229,232,"UGA_Mayuge","Agricultural","Forest-savanna","Congolian","Uganda",0.72,33.48,1000,2255,11,2,3,0,0
"126","126",2021,1870,172,176,168,1325,168,58,35,460,214,351,398,113,85,334,242,110,132,170,173,"UGA_Rwenzori1","Natural","Montane","Congolian","Uganda",0.344,30.027,2000,418,10,2,2,0,1
"127","127",2706,1765,130,134,126,1536,186,71,31,509,273,434,291,107,86,312,197,73,124,129,131,"UGA_Rwenzori2","Natural","Montane","Congolian","Uganda",0.341,29.987,2700,293,8,2,2,0,1
"128","128",2706,1765,130,134,126,1536,186,71,31,509,273,434,291,107,86,312,197,73,124,129,131,"UGA_Rwenzori3","Natural","Montane","Congolian","Uganda",0.321,29.974,3350,83,9,2,2,0,1
"129","129",4164,920,53,56,48,2088,245,99,28,650,360,529,377,93,85,304,112,3,109,51,49,"UGA_Rwenzori4","Natural","Montane","Congolian","Uganda",0.3,29.91,4000,87,6,2,2,0,1
"130","130",1937,532,106,157,51,584,82,24,39,223,83,201,83,147,55,4107,242,-22,264,154,51,"ZAF_Asante","Natural","Montane","Southern","South_Africa",-32.233,24.917,1800,56,6,2,2,0,1
"131","131",834,458,149,189,105,585,64,30,20,170,105,170,113,124,56,3300,256,37,219,189,110,"ZAF_Baviaanskloof","Natural","Fynbos","Southern","South_Africa",-33.6,24.4,800,117,5,1,1,0,1
"132","132",1531,96,166,209,108,711,136,6,74,350,20,338,20,142,55,4074,273,17,256,205,108,"ZAF_Cradle","Natural","Grassland","Southern","South_Africa",-25.93,27.77,1550,159,10,2,2,0,0
"133","133",1055,276,182,214,138,951,157,11,72,464,38,464,38,131,60,3055,271,53,218,214,138,"ZAF_Groenvaley","Degraded","Grassland","Southern","South_Africa",-25.33,30.75,1100,493,7,2,3,0,1
"134","134",903,22,200,269,121,218,43,1,80,120,5,104,6,185,53,5794,357,8,349,262,142,"ZAF_Kalahari1","Natural","Savanna","Southern","South_Africa",-26.46,20.61,900,433,7,2,3,0,0
"135","135",890,11,201,269,121,216,43,1,78,118,5,103,6,185,53,5804,357,9,348,262,142,"ZAF_Kalahari2","Natural","Savanna","Southern","South_Africa",-26.42,20.62,900,34,5,2,3,0,0
"136","136",963,23,203,270,123,237,45,1,86,132,5,108,5,187,53,5754,355,7,348,264,123,"ZAF_Kalahari3","Natural","Savanna","Southern","South_Africa",-25.56,20.65,1000,579,10,2,3,0,0
"137","137",1029,15,201,266,124,230,48,1,87,136,5,108,5,186,54,5569,349,7,342,259,124,"ZAF_Kalahari4","Natural","Savanna","Southern","South_Africa",-25.1,20.2,1000,97,5,2,3,0,1
"138","138",1331,524,148,186,98,868,136,13,66,402,50,402,50,131,56,3476,243,13,230,186,98,"ZAF_Karkloof","Natural","Forest","Southern","South_Africa",-29.292,30.24,1500,1812,8,2,2,0,1
"139","139",582,60,176,226,122,292,45,9,39,108,38,90,39,145,54,4076,306,42,264,225,126,"ZAF_Karoo1","Rangeland","Nama-Karoo","Southern","South_Africa",-33.083,24.317,600,9,3,2,1,0,0
"140","140",510,137,171,216,122,391,49,17,26,125,63,110,66,133,55,3698,288,47,241,215,126,"ZAF_Karoo2","Rangeland","Succulent-Karoo","Southern","South_Africa",-33.367,24.2,550,21,3,2,1,0,1
"141","141",676,404,162,209,112,444,51,24,19,137,85,121,85,132,54,3775,284,43,241,192,118,"ZAF_Karoo3","Rangeland","Nama-Karoo","Southern","South_Africa",-33.35,23.133,800,33,2,2,1,0,1
"142","142",853,101,153,201,102,366,45,21,20,115,70,95,70,141,56,3835,282,32,250,182,102,"ZAF_Karoo4","Rangeland","Nama-Karoo","Southern","South_Africa",-33.233,22.617,850,46,3,2,1,0,1
"143","143",814,171,153,208,95,254,34,6,38,93,30,30,87,147,54,4432,294,25,269,127,208,"ZAF_Karoo5","Rangeland","Succulent-Karoo","Southern","South_Africa",-33.45,20.05,800,4,1,2,1,0,1
"144","144",765,387,159,218,97,224,36,6,49,93,32,33,92,148,52,4754,307,25,282,104,206,"ZAF_Karoo6","Rangeland","Succulent-Karoo","Southern","South_Africa",-33.167,19.733,700,47,5,2,1,0,1
"145","145",233,78,184,227,137,176,30,2,65,85,11,13,84,149,60,3560,312,66,246,144,226,"ZAF_Knersvlakte","Natural","Succulent-Karoo","Southern","South_Africa",-31.4,18.5,250,98,8,1,1,0,1
"146","146",1083,100,196,242,133,614,122,3,79,320,15,320,15,155,55,4433,312,33,279,242,133,"ZAF_Mankwe","Natural","Savanna","Southern","South_Africa",-25.25,27.283,1100,891,9,2,3,0,1
"147","147",630,326,209,240,166,714,139,6,80,388,23,388,23,128,60,2910,296,86,210,240,166,"ZAF_Mariepskop","Natural","Montane","Southern","South_Africa",-24.5,30.967,1700,32,6,1,1,0,1
"148","148",1514,388,130,179,76,512,71,19,42,197,66,183,67,150,56,4026,265,-2,267,176,79,"ZAF_MtZebra","Natural","Montane","Southern","South_Africa",-32.3,25.4,1800,24,6,2,2,0,1
"149","149",985,15,203,270,123,238,46,1,87,132,5,106,5,187,54,5704,353,7,346,263,123,"ZAF_Nossob","Natural","Savanna","Southern","South_Africa",-25.417,20.599,950,47,6,1,1,0,1
"150","150",398,42,231,265,184,498,98,3,87,286,12,286,12,140,60,3215,332,99,233,265,184,"ZAF_Nwashitshumbe","Natural","Savanna","Zambezian","South_Africa",-22.75,31.25,400,1275,5,2,2,0,0
"151","151",1097,84,191,230,136,580,112,2,82,309,12,296,12,156,59,3767,297,36,261,228,136,"ZAF_Nyslvley","Natural","Savanna","Southern","South_Africa",-24.64,28.68,1100,77,13,1,1,0,1
"152","152",97,134,217,250,176,760,114,21,48,300,79,289,79,116,56,2917,307,100,207,250,176,"ZAF_Phinda","Natural","Savanna","Southern","South_Africa",-27.75,32.3,50,157,9,2,2,0,1
"153","153",572,74,210,243,170,730,124,12,69,346,41,346,41,129,59,2867,306,88,218,243,170,"ZAF_Pretoriuskop","Natural","Savanna","Zambezian","South_Africa",-25.17,31.29,600,89,8,1,1,0,1
"154","154",46,53,217,250,180,1117,136,53,29,384,172,384,172,93,53,2735,296,121,175,250,180,"ZAF_RichardsBay","Degraded","Forest","Southern","South_Africa",-28.7156,32.1847,50,1405,6,2,2,0,1
"155","155",1246,117,177,245,100,370,61,8,58,166,31,140,31,165,50,5625,337,7,330,238,100,"ZAF_Rolfontein","Natural","Grassland","Southern","South_Africa",-30.009,24.765,1250,1139,12,2,2,0,1
"156","156",292,69,223,264,171,565,103,8,75,295,29,295,29,141,55,3617,331,79,252,264,171,"ZAF_Satara","Natural","Savanna","Zambezian","South_Africa",-24.39,31.79,250,36,5,1,1,0,1
"157","157",1785,295,118,177,55,465,75,18,47,195,58,165,58,157,53,4731,267,-25,292,172,55,"ZAF_Sneeuberg","Natural","Montane","Southern","South_Africa",-31.7,24.633,1800,122,6,2,2,0,1
"158","158",1452,540,166,199,117,852,178,8,82,466,33,466,33,127,57,3314,256,36,220,199,117,"ZAF_Soutpansberg","Natural","Montane","Southern","South_Africa",-23.034,29.431,1400,458,7,2,2,0,1
"159","159",1313,690,123,168,75,440,50,28,16,135,93,113,93,141,57,3627,250,6,244,152,75,"ZAF_Swartberg","Natural","Fynbos","Southern","South_Africa",-33.33,22.05,1200,92,5,1,1,0,1
"160","160",1385,92,169,211,111,679,124,6,76,345,20,322,20,157,58,4015,279,11,268,208,111,"ZAF_Telperion","Natural","Grassland","Southern","South_Africa",-25.633,28.883,1400,163,11,2,1,0,1
"161","161",1519,386,138,178,85,925,150,13,69,445,48,445,48,133,55,3704,235,-6,241,178,85,"ZAF_Wakefield","Natural","Montane","Southern","South_Africa",-29.48,29.89,1450,342,10,2,1,0,1
"162","162",1395,73,162,217,92,581,92,9,63,258,30,258,30,161,53,4965,295,-7,302,217,92,"ZAF_WillemPretorius","Natural","Grassland","Southern","South_Africa",-28.3,27.18,1400,328,4,2,2,0,1
"163","163",1106,32,208,234,166,978,233,0,110,658,1,385,3,148,56,2793,326,63,263,225,167,"ZMB_Kafue1","Natural","Savanna","Zambezian","Zambia",-14.383,26.041,1100,43,6,1,1,0,1
"164","164",1111,25,208,232,167,1005,233,0,109,667,1,392,3,150,56,2710,328,63,265,224,167,"ZMB_Kafue2","Natural","Savanna","Zambezian","Zambia",-14.208,25.656,1100,14,4,1,1,0,1
"165","165",1107,24,208,234,167,989,233,0,110,661,1,388,3,148,56,2748,326,63,263,224,167,"ZMB_Kafue3","Natural","Savanna","Zambezian","Zambia",-14.297,25.92,1100,18,6,1,1,0,1
"166","166",883,70,222,253,178,653,171,0,113,457,1,230,8,141,55,3001,340,85,255,240,179,"ZWE_Sengwa","Natural","Savanna","Zambezian","Zimbabwe",-18.167,28.233,900,313,11,2,2,0,1
